property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
house,independant,sector 41,7.25,29293.0,9.0,8.0,3,4.0,Old Property,2475.0,0.0,1.0,0.0,0.0,0.0,0.0,94.0
flat,vipul lavanya,sector 81,1.28,7174.0,3.0,3.0,3,1.0,Moderately Old,1605.6,0.0,1.0,0.0,1.0,0.0,0.0,49.0
flat,m3m woodshire,sector 107,1.4,5929.0,3.0,4.0,N,1.0,New Property,2129.7680412371133,0.0,0.0,0.0,0.0,0.0,0.0,67.0
flat,ild greens,sector 37,0.78,5714.0,2.0,2.0,3,1.0,Moderately Old,1068.1,0.0,0.0,0.0,0.0,0.0,0.0,103.0
flat,ashiana mulberry,sohna road,1.05,5412.0,2.0,2.0,3,1.0,New Property,1175.97,1.0,0.0,0.0,0.0,0.0,1.0,49.0
flat,m3m skywalk,sector 74,2.7,13379.0,3.0,3.0,3,13.0,New Property,2018.0,0.0,0.0,1.0,0.0,0.0,1.0,92.0
flat,m3m the marina,sector 68,1.02,8095.0,2.0,2.0,2,11.0,Relatively New,1250.0,0.0,0.0,0.0,0.0,1.0,0.0,49.0
house,satya the hermitage,sector 103,3.15,6702.0,4.0,5.0,0,12.0,Relatively New,4700.0,0.0,0.0,0.0,0.0,0.0,1.0,61.0
house,independant,sector 56,3.25,21495.0,5.0,6.0,3+,4.0,Relatively New,1512.0,0.0,0.0,0.0,1.0,1.0,0.0,27.0
flat,krrish provence estate,sector 2,5.25,9051.0,4.0,5.0,3,2.0,New Property,5231.958762886598,1.0,1.0,0.0,1.0,0.0,1.0,49.0
flat,rof ananda,sector 95,0.26,6032.0,1.0,1.0,1,8.0,New Property,365.5923298969072,0.0,0.0,0.0,0.0,0.0,0.0,49.0
house,international city by sobha phase 2,sector 109,8.48,23556.0,4.0,6.0,3+,3.0,New Property,3600.0,1.0,1.0,1.0,1.0,0.0,1.0,153.0
flat,signature global park,sohna road,0.54,7248.0,2.0,1.0,3,1.0,New Property,670.5,0.0,0.0,0.0,0.0,0.0,0.0,65.0
flat,vatika the seven lamps,sector 82,0.94,6567.0,2.0,2.0,2,12.0,Relatively New,1294.458762886598,1.0,0.0,0.0,0.0,0.0,0.0,103.0
flat,dlf new town heights,sector 86,1.26,6113.0,3.0,3.0,3,5.0,Moderately Old,1740.979381443299,0.0,1.0,0.0,0.0,1.0,1.0,113.0
flat,corona optus,sector 37,1.25,7175.0,3.0,3.0,3,2.0,Relatively New,1412.5386597938145,1.0,0.0,0.0,0.0,0.0,1.0,49.0
flat,chd avenue,sector 71,0.95,7917.0,2.0,2.0,N,5.0,Moderately Old,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,ireo victory valley,sector 67,3.15,12846.0,3.0,4.0,3,15.0,Relatively New,2211.855670103093,0.0,1.0,0.0,1.0,0.0,0.0,149.0
flat,supertech araville,sector 79,0.8,6178.0,2.0,2.0,3,9.0,New Property,1168.1701030927836,0.0,0.0,0.0,0.0,1.0,1.0,24.0
house,independant,sector 105,1.35,3857.0,5.0,3.0,3,3.0,Moderately Old,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,emaar palm gardens,sector 83,1.4,8139.0,3.0,3.0,3,2.0,Relatively New,1268.6581958762886,1.0,1.0,1.0,1.0,0.0,0.0,174.0
flat,pyramid urban homes 2,sector 86,0.43,8582.0,2.0,2.0,1,6.0,New Property,450.9,1.0,0.0,0.0,0.0,0.0,1.0,92.0
flat,emaar mgf the palm drive,sector 66,2.8,16470.0,3.0,4.0,3,8.0,Relatively New,1700.0,0.0,1.0,0.0,0.0,0.0,0.0,117.0
flat,dlf exclusive floors,sector 43,2.35,14242.0,3.0,3.0,2,1.0,Old Property,1376.451030927835,0.0,0.0,1.0,0.0,0.0,0.0,102.0
flat,supertech araville,sector 79,0.78,6023.0,2.0,2.0,3,17.0,Relatively New,1168.1701030927836,0.0,0.0,0.0,0.0,0.0,0.0,24.0
flat,signature global park,sohna road,0.67,5537.0,2.0,2.0,3,4.0,Relatively New,1091.4948453608247,0.0,0.0,0.0,1.0,0.0,1.0,127.0
flat,dlf new town heights,sector 90,1.51,6387.0,4.0,4.0,3,6.0,Relatively New,2362.0,0.0,1.0,0.0,1.0,0.0,0.0,142.0
flat,sobha city,sector 108,2.45,14040.0,3.0,3.0,3,15.0,Relatively New,1460.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0
house,my home,new sector 2,0.34,12592.0,2.0,2.0,2,3.0,Moderately Old,270.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
house,unitech nirvana birch court,sector 50,6.8,31481.0,4.0,4.0,3+,2.0,Old Property,2160.0,1.0,1.0,0.0,1.0,0.0,0.0,105.0
flat,piedmont taksila heights,sector 37,0.9,5855.0,3.0,3.0,3,9.0,Moderately Old,1537.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0
flat,indiabulls centrum park,sector 103,1.15,8679.0,2.0,2.0,3,10.0,Relatively New,986.8659793814434,1.0,0.0,0.0,0.0,0.0,0.0,174.0
house,dlf floors phase 3,sector 24,3.51,12342.0,4.0,4.0,3,4.0,Old Property,2844.0,1.0,1.0,1.0,1.0,0.0,0.0,160.0
flat,tulip violet,sector 69,1.7,8623.0,4.0,4.0,1,12.0,Relatively New,1777.0618556701031,0.0,0.0,0.0,0.0,0.0,0.0,88.0
flat,la vida by tata housing,sector 113,2.33,12533.0,3.0,3.0,3,3.0,New Property,2098.0,0.0,1.0,0.0,0.0,0.0,0.0,174.0
flat,conscient heritage max,sector 102,1.82,9011.0,3.0,4.0,3,12.0,Relatively New,1751.8041237113403,0.0,1.0,0.0,0.0,0.0,1.0,101.0
flat,guru gram haryana cghs,sector 56,1.38,7225.0,3.0,3.0,3,5.0,Moderately Old,1910.0,1.0,0.0,0.0,0.0,0.0,0.0,134.0
flat,dlf the ultima,sector 81,2.35,11233.0,3.0,4.0,3,18.0,Relatively New,1438.5567010309278,0.0,1.0,0.0,0.0,0.0,1.0,106.0
flat,m3m the marina,sector 68,1.45,9615.0,3.0,2.0,3,9.0,New Property,1360.3092783505156,0.0,0.0,0.0,0.0,0.0,1.0,0.0
house,dlf the grove,sector 54,5.7,23457.0,4.0,4.0,0,1.0,Moderately Old,2430.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0
flat,alpha corp gurgaonone,sector 84,2.2,7586.0,4.0,4.0,3,10.0,Relatively New,2610.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0
flat,umang winter hills,sector 77,1.05,5762.0,3.0,3.0,3,7.0,Relatively New,1600.0,0.0,0.0,0.0,0.0,0.0,1.0,49.0
flat,emaar mgf emerald floors premier,sector 65,2.55,15454.0,3.0,3.0,3,3.0,Relatively New,1650.0,1.0,1.0,0.0,0.0,0.0,1.0,21.0
flat,ireo victory valley,sector 67,3.05,16266.0,3.0,4.0,2,35.0,Relatively New,2200.0,1.0,1.0,0.0,0.0,0.0,0.0,165.0
house,independant,sector 48,8.4,25926.0,4.0,4.0,3,2.0,Old Property,3240.0,0.0,1.0,0.0,1.0,0.0,0.0,15.0
flat,pyramid urban homes 2,sector 86,0.5,9615.0,2.0,2.0,1,10.0,Relatively New,468.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0
flat,dlf new town heights,sector 90,2.0,7334.0,4.0,4.0,3,20.0,Moderately Old,2459.9226804123714,0.0,1.0,0.0,0.0,1.0,1.0,49.0
flat,supertech araville,sector 79,0.9,5883.0,2.0,2.0,3,5.0,Relatively New,1450.0,1.0,0.0,0.0,0.0,0.0,1.0,53.0
flat,shree vardhman victoria,sector 70,1.63,8358.0,3.0,5.0,3,12.0,Relatively New,1401.9603092783505,0.0,1.0,0.0,0.0,0.0,1.0,43.0
flat,m3m crown,sector 111,4.67,17000.0,4.0,4.0,3,8.0,Relatively New,2475.0,0.0,0.0,0.0,0.0,0.0,1.0,73.0
house,independant,sector 38,3.5,24306.0,3.0,3.0,2,1.0,Relatively New,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
flat,central park flower valley aqua front towers,sector 33,1.7,9449.0,3.0,3.0,3,5.0,New Property,1526.9046391752577,0.0,0.0,0.0,0.0,0.0,0.0,44.0
flat,kibithu villas,sector 48,3.45,12777.0,4.0,4.0,3,2.0,Moderately Old,2430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,tulip violet,sector 69,1.3,8445.0,3.0,3.0,1,12.0,Relatively New,1387.3711340206187,0.0,0.0,0.0,1.0,0.0,0.0,94.0
flat,allure homes,sector 12,0.72,7272.0,2.0,2.0,1,2.0,Relatively New,891.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0
flat,umang monsoon breeze,sector 78,1.05,5666.0,3.0,3.0,3,6.0,Moderately Old,1853.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,ireo skyon,sector 60,3.7,13214.0,4.0,5.0,3,10.0,Relatively New,2525.773195876289,0.0,1.0,0.0,0.0,0.0,0.0,165.0
