property_type,sector,price,bedroom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category
house,sector 41,7.25,9.0,8.0,3,Old Property,2475.0,1.0,0.0,0.0,Medium,Mid Floor
flat,sector 81,1.28,3.0,3.0,3,Moderately Old,1605.6,1.0,0.0,0.0,Low,Low Floor
flat,sector 107,1.4,3.0,4.0,N,New Property,2129.7680412371133,0.0,0.0,0.0,Medium,Low Floor
flat,sector 37,0.78,2.0,2.0,3,Moderately Old,1068.1,0.0,0.0,0.0,Medium,Low Floor
flat,sohna road,1.05,2.0,2.0,3,New Property,1175.97,0.0,0.0,1.0,Low,Low Floor
flat,sector 74,2.7,3.0,3.0,3,New Property,2018.0,0.0,1.0,1.0,Medium,High Floor
flat,sector 68,1.02,2.0,2.0,2,Relatively New,1250.0,0.0,0.0,0.0,Low,High Floor
house,sector 103,3.15,4.0,5.0,0,Relatively New,4700.0,0.0,0.0,1.0,Medium,High Floor
house,sector 56,3.25,5.0,6.0,3+,Relatively New,1512.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 2,5.25,4.0,5.0,3,New Property,5231.958762886598,1.0,0.0,1.0,Low,Low Floor
flat,sector 95,0.26,1.0,1.0,1,New Property,365.5923298969072,0.0,0.0,0.0,Low,Mid Floor
house,sector 109,8.48,4.0,6.0,3+,New Property,3600.0,1.0,1.0,1.0,High,Mid Floor
flat,sohna road,0.54,2.0,1.0,3,New Property,670.5,0.0,0.0,0.0,Medium,Low Floor
flat,sector 82,0.94,2.0,2.0,2,Relatively New,1294.458762886598,0.0,0.0,0.0,Medium,High Floor
flat,sector 86,1.26,3.0,3.0,3,Moderately Old,1740.979381443299,1.0,0.0,1.0,Medium,Mid Floor
flat,sector 37,1.25,3.0,3.0,3,Relatively New,1412.5386597938143,0.0,0.0,1.0,Low,Low Floor
flat,sector 71,0.95,2.0,2.0,N,Moderately Old,1200.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 67,3.15,3.0,4.0,3,Relatively New,2211.855670103093,1.0,0.0,0.0,Medium,High Floor
flat,sector 79,0.8,2.0,2.0,3,New Property,1168.1701030927836,0.0,0.0,1.0,Low,Mid Floor
house,sector 105,1.35,5.0,3.0,3,Moderately Old,3500.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 83,1.4,3.0,3.0,3,Relatively New,1268.6581958762886,1.0,1.0,0.0,High,Low Floor
